name,link,image
Darkside,https://www.youtube.com/watch?v=UgKNP8GHnuk,https://i1.sndcdn.com/artworks-0mT77eZFtmNZcS4e-F6Ds8Q-t500x500.jpg
Wonderland,https://www.youtube.com/watch?v=0bTVSSiAgZs,https://i1.sndcdn.com/artworks-KPqcJpzHPcG4DdGO-vUyhxA-t500x500.jpg
Ghost Town,ttps://www.youtube.com/watch?v=d79nXbLUUh4,https://i1.sndcdn.com/artworks-zky6b4y8bzJRVriA-AltgFg-t500x500.jpg
Loser,"https://www.youtube.com/watch?v=ErJjUbAPue0""",https://i1.sndcdn.com/artworks-mFkqzCMqKxSeG6eA-81ileA-t500x500.jpg
Army,https://www.youtube.com/watch?v=p8S7DKkHTwM,https://i1.sndcdn.com/artworks-rpi8x9vE0hXCgBQ1-5euTlg-t500x500.jpg
Fangs,https://www.youtube.com/watch?v=YGVdUQFpKVs,https://i1.sndcdn.com/artworks-bTsNbuvfVgGuWLH6-yy05Dw-t500x500.jpg
Paranoia,https://www.youtube.com/watch?v=tzTYs543Z2I,https://i1.sndcdn.com/artworks-zbjny7rbSZvMcaw0-zF7sUg-t500x500.jpg
Horror Movies,https://www.youtube.com/watch?v=fsoVw4FOvxw,https://i1.sndcdn.com/artworks-0kdy6JoKX6hTOUFL-h0oKPA-t500x500.jpg
Downfall,https://www.youtube.com/watch?v=o5h_-wPerUg,https://i1.sndcdn.com/artworks-sRQ3EtSBfiN7z8Mf-16aDIQ-t500x500.jpg
Pinky Promise,https://www.youtube.com/watch?v=xiMVIMNx4aM,https://i1.sndcdn.com/artworks-dIPfukszZLy0GPOD-FfTIuw-t500x500.jpg
Doomsday,https://www.youtube.com/watch?v=oILljVDOkwY,https://i1.sndcdn.com/artworks-R6Z3npiTPUXUnfon-ZoJqZA-t500x500.jpg
Carry On Wayward Son,https://www.youtube.com/watch?v=qKvj12YTtI4,https://i1.sndcdn.com/artworks-000529694196-xf6zp0-t500x500.jpg
Giants,https://www.youtube.com/watch?v=bWiZweZi-YE,https://i1.sndcdn.com/artworks-000455246127-vrcd4y-t500x500.jpg
Boo Hoo,https://www.youtube.com/watch?v=oBK7S51DP5E,https://i.scdn.co/image/ab67616d0000b273a1947f323c1b627d7874e2fa
Haunted House,https://www.youtube.com/watch?v=K9gw0ZpWbSg,https://i1.sndcdn.com/artworks-zq1QmsOd9rf0FEc5-xSsUzQ-t500x500.jpg
Outlaw,https://www.youtube.com/watch?v=DGix8G05Las,https://i1.sndcdn.com/artworks-gSczdm2ahPhjhDQb-9OxvFw-t500x500.jpg
Machine,https://www.youtube.com/watch?v=-vohFdm8lxA,https://i1.sndcdn.com/artworks-4w5Gd5m99aWq2B8h-XScBTQ-t500x500.jpg
Where We Rise,https://www.youtube.com/watch?v=IxBop_tizx0,https://i1.sndcdn.com/artworks-myNC99q0NYQEuI8D-p23n8Q-t500x500.jpg
Never Say Die,https://www.youtube.com/watch?v=smPOBjlqgpA,https://i1.sndcdn.com/artworks-000586492016-7laiyk-t500x500.jpg
Mayhem,https://www.youtube.com/watch?v=mKnd5rZGqzY,https://i1.sndcdn.com/artworks-XjQ0GQYtj4KBa07A-fdsr1w-t500x500.jpg
Levitate,https://www.youtube.com/watch?v=IDaZh16JRwU,https://i1.sndcdn.com/artworks-3j6CFullSAvzFCLe-w2Am7g-t500x500.jpg
Sanctuary ,https://www.youtube.com/watch?v=WdAUH68jFfg,https://i1.sndcdn.com/artworks-OSQBRpDaXf0YQlv5-QLTeuA-t500x500.jpg
Champion,https://www.youtube.com/watch?v=WDhbbLIcCtw,https://i.scdn.co/image/ab67616d0000b273cbdb0894d5f0d249bc75ae9e
Fallout,https://www.youtube.com/watch?v=J9Q1J5I7ac0,https://i1.sndcdn.com/artworks-pzTjSOp3Pyw2NMQ9-8nz9Xw-t500x500.jpg
Notorious,https://www.youtube.com/watch?v=CKaW4a6dS2M,https://i1.sndcdn.com/artworks-glHmoDf9VSuMwCfB-lO5cjQ-t500x500.jpg
Nightmare,https://www.youtube.com/watch?v=BO2J4To7r8I,https://i1.sndcdn.com/artworks-JEoDsLt8k9GMBrzA-PTKWeQ-t500x500.jpg
Throne,https://www.youtube.com/watch?v=tpFbCsCaGIs,https://i1.sndcdn.com/artworks-JEoDsLt8k9GMBrzA-PTKWeQ-t500x500.jpg
Revolution,https://www.youtube.com/watch?v=UypBcIQQ6So,https://i1.sndcdn.com/artworks-IzyJY3SdJjhWaIVr-B7wc3w-t500x500.jpg
Back From The Dead,https://www.youtube.com/watch?v=7vQOoLtwpGc,https://static.wikia.nocookie.net/neoni/images/c/c4/Back_from_the_dead.jpg/revision/latest?cb=20230111222412
Bloodstream,https://www.youtube.com/watch?v=s6LYyR85Y-Y,https://i.scdn.co/image/ab67616d0000b27392b94e4a90718a1e532ea91a
End of The World,https://www.youtube.com/watch?v=yJwbasCno1g,https://i1.sndcdn.com/artworks-M5XwsYsyjivRPaWm-dl7ztg-t500x500.jpg
Bad Intentions,https://www.youtube.com/watch?v=xQC-b7f8F4E,https://i.scdn.co/image/ab67616d0000b273fc8a45433670aa389c9b183b
Bombs Away,https://www.youtube.com/watch?v=rmFAXu0of_8,https://i1.sndcdn.com/artworks-yzeRT72JEPeAkkpp-b6MVzA-t500x500.jpg
Bury Me Alive,https://www.youtube.com/watch?v=oybmggm45wo,https://i1.sndcdn.com/artworks-LqM2qcO6tNzEWufV-HwZE5Q-t500x500.jpg
Carousel,https://www.youtube.com/watch?v=MgwiOV_nB4U,https://i.scdn.co/image/ab67616d0000b273349230919fe93ff8c5d1f84a
Chemicals,https://www.youtube.com/watch?v=e4-raurU5zI,https://images.genius.com/33e1e342418fac23d2785d667ee65516.300x300x1.jpg
Confession,https://www.youtube.com/watch?v=JyK80j7TuMI,https://i1.sndcdn.com/artworks-000529692768-tsb8pg-t500x500.jpg
Conquer,https://www.youtube.com/watch?v=wpMlZ5tkZSg,https://geo-media.beatsource.com/image_size/1400x1400/a/1/8/a18a6f53-7884-47c2-82ec-6a93b951857a.jpg
Dead to Me,https://www.youtube.com/watch?v=bOj8G2SOisI,https://i1.sndcdn.com/artworks-9hfyzmcy8dE2BKnN-spknqg-t500x500.jpg
Deep Water,https://www.youtube.com/watch?v=8PwkpW72-2g,https://i1.sndcdn.com/artworks-7QrNTejESKSL19RW-ohb4gw-t500x500.jpg
Demons,https://www.youtube.com/watch?v=WE9TCyec6iM,https://i1.sndcdn.com/artworks-000473135547-5a2jwz-t500x500.jpg
Empire,https://www.youtube.com/watch?v=WE9TCyec6iM,https://i1.sndcdn.com/artworks-000555452616-u1ra8n-t500x500.jpg
Feet Don't Fail Me Now,https://www.youtube.com/watch?v=RKsZAVNRxRQ,https://i1.sndcdn.com/artworks-000529692951-nx4wbe-t500x500.jpg
Gold,https://www.youtube.com/watch?v=HOOgoXrpyyU,https://i1.sndcdn.com/artworks-OSAU8rKn64meJWjk-A0lW4A-t500x500.jpg
Happy Ever After,https://www.youtube.com/watch?v=rjylJat8m5k,https://i1.sndcdn.com/artworks-H4NQFOPAffRZ06Ar-NiPoZA-t500x500.jpg
Here Comes Trouble,https://www.youtube.com/watch?v=YI_U9Xoiv7Q,https://i1.sndcdn.com/artworks-jCyj1i4tjDCHQPs1-dUXLWg-t500x500.jpg
Hooligan,https://www.youtube.com/watch?v=MbNEAIq6pN8,https://i1.sndcdn.com/artworks-WlM6d1rzInOUzKbl-X79Tew-t500x500.jpg
Ignite,https://www.youtube.com/watch?v=7I2Smn0SgVc,https://i1.sndcdn.com/artworks-IbYx0GuzzIRX5eCh-84gHAA-t500x500.jpg
I'm Not Sorry,https://www.youtube.com/watch?v=YYUc7OCZ9K8,https://i1.sndcdn.com/artworks-raz56UaZbL19JsqR-Nfp7rg-t500x500.jpg
Long Time Traveller,https://www.youtube.com/watch?v=KblUT1i3lCg,https://i.scdn.co/image/ab67616d0000b27387ac7b4f12fa0c161cfd4968
Messed up Masterpiece,https://www.youtube.com/watch?v=JLLawEQ9dyk,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/e9/e7/08/e9e70819-c6c7-97fa-6472-ed4ddb71116f/artwork.jpg/600x600bf-60.jpg
Monster,https://www.youtube.com/watch?v=nAPCh6bRulU,https://i.ytimg.com/vi/nAPCh6bRulU/maxresdefault.jpg
Mutiny,https://www.youtube.com/watch?v=bEiW_jGsL-o,https://i1.sndcdn.com/artworks-mDWLGQxvCOUyF4gP-8OntdQ-t500x500.jpg
Nerve,https://www.youtube.com/watch?v=O7Uj-bcn8Bg,https://i1.sndcdn.com/artworks-mpxeM5UyKhbr8Lak-kHDFMQ-t500x500.jpg
Oblivion,https://www.youtube.com/watch?v=eGmxc0LCPOY,https://i1.sndcdn.com/artworks-000598677008-blttu9-t500x500.jpg
Omens,https://www.youtube.com/watch?v=vLS_EJLvlq4,https://i1.sndcdn.com/artworks-000642356812-1wi6d5-t500x500.jpg
Origin,https://www.youtube.com/watch?v=B7xZWOYTFnM,https://i1.sndcdn.com/artworks-000665011828-e773xr-t500x500.jpg
Over My Head,https://www.youtube.com/watch?v=hwSToicQyAY,https://i1.sndcdn.com/artworks-0Qji9mqI1zgbmRzy-Szj8EA-t500x500.jpg
Ready For War,https://www.youtube.com/watch?v=9eNBEz9SAsk,https://i1.sndcdn.com/artworks-IfExmwtHbcGmXfqX-DbRIXQ-t500x500.jpg
Rip,https://www.youtube.com/watch?v=_D8jB95Fn8k,https://images.genius.com/20bd6dc70bebdb61fa46228fc5da258f.1000x1000x1.jpg
Six Feet Deep,https://www.youtube.com/watch?v=9LvMRG9WT_w,https://images.genius.com/638e22d734edcd5463360786256b7fab.999x1000x1.png
Soldiers,https://www.youtube.com/watch?v=FMm-X7LkE3g,https://i1.sndcdn.com/artworks-5X4lkzbwSy5iQSFM-uxhRyA-t500x500.jpg
SuperNova,https://www.youtube.com/watch?v=qnNhSsROyeE,https://i1.sndcdn.com/artworks-000529693293-bzc7pk-t500x500.jpg
Uh Oh,https://www.youtube.com/watch?v=5b3vcHhoxeU,https://i1.sndcdn.com/artworks-BAfZzHFPG8VrPNyw-HSABFA-t500x500.jpg
Underground,https://www.youtube.com/watch?v=CtjHkvyQZe8,https://i.ytimg.com/vi/CtjHkvyQZe8/maxresdefault.jpg
Up In Flames,https://www.youtube.com/watch?v=JgyiQawbfRo,https://i1.sndcdn.com/artworks-cozXBagPYc5g6yEQ-l8iHrg-t500x500.jpg
Vengance,https://www.youtube.com/watch?v=hUq6KNkZcUY,https://i1.sndcdn.com/artworks-N3hE9jRO6rPfJA60-tziAeg-t500x500.jpg
Warning Label,https://www.youtube.com/watch?v=LCwyLSt2jEA,https://static.wikia.nocookie.net/neoni/images/9/9f/Warning_Label_Cover_Art.jpg/revision/latest?cb=20221222183514
Wasteland,https://www.youtube.com/watch?v=I4moygbhKzo,https://i1.sndcdn.com/artworks-yHIZo1jzVEy15c9W-B0KMfg-t500x500.jpg
Weirdo,https://www.youtube.com/watch?v=Cjx3Ky7_ZbA,https://i1.sndcdn.com/artworks-000529693383-f4ecrz-t500x500.jpg
Wreckage,https://www.youtube.com/watch?v=NvDjXI0u9YQ,https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/8e/01/11/8e0111bd-c7f3-35e5-0260-9f03a06ef08b/artwork.jpg/1200x1200bf-60.jpg
